Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
F2,C,25/2/2014,25/2/2014,,F2C_25022014,160.17,,117.4,small,157.08,114.99,42.09,0.366031829,extr F2C_25022014,9.83,50,incub F2C_25022014,,10.17,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
F2,D,25/2/2014,25/2/2014,,F2D_25022014,157.42,,119.7,small,154.33,117.29,37.04,0.315798448,extr F2D_25022014,10.41,50,incub F2D_25022014,,10.42,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,"I accidentally labeled the B and D bags as B, so this value and the D value should be merged",
F2,E,25/2/2014,25/2/2014,,F2E_25022014,160.48,,115,small,157.39,112.59,44.8,0.397903899,extr F2E_25022014,9.61,50,incub F2E_25022014,,10.42,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
Ext Blank,NA,NaN,25/2/2014,,ext bnk 25022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,25/2/2014,,ext bnk 25022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,25/2/2014,,ext bnk 25022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,A,6/3/14,6/4/14,,M1A_06032014,473.5,,370.8,large,470.41,364.35,106.06,0.291093729,extr M1A_06032014,9.73,50,incub M1A_06032014,,9.62,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M1,B,6/3/14,6/4/14,,M1B_06032014,489.8,,399.9,large,486.71,393.45,93.26,0.237031389,extr M1B_06032014,10.28,50,incub M1B_06032014,,9.95,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M1,C,6/3/14,6/4/14,,M1C_06032014,459.9,,359.5,large,456.81,353.05,103.76,0.293896049,extr M1C_06032014,9.96,50,incub M1C_06032014,,9.56,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M1,D,6/3/14,6/4/14,,M1D_06032014,553.2,,440.1,large,550.11,433.65,116.46,0.268557593,extr M1D_06032014,10.06,50,incub M1D_06032014,,10.09,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M1,E,6/3/14,6/4/14,,M1E_06032014,462.9,,358.6,large,459.81,352.15,107.66,0.305721993,extr M1E_06032014,9.67,50,incub M1E_06032014,,10.2,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M2,A,6/3/14,6/4/14,,M2A_06032014,479.3,,409,large,476.21,402.55,73.66,0.18298348,extr M2A_06032014,9.96,50,incub M2A_06032014,,10.33,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M2,B,6/3/14,6/4/14,,M2B_06032014,528.5,,448.4,large,525.41,441.95,83.46,0.188844892,extr M2B_06032014,9.59,50,incub M2B_06032014,,10.01,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M2,C,6/3/14,6/4/14,,M2C_06032014,541.5,,463.4,large,538.41,456.95,81.46,0.178268957,extr M2C_06032014,10.19,50,incub M2C_06032014,,10.08,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M2,D,6/3/14,6/4/14,,M2D_06032014,531.1,,448.3,large,528.01,441.85,86.16,0.194998303,extr M2D_06032014,10.35,50,incub M2D_06032014,,10.26,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
M2,E,6/3/14,6/4/14,,M2E_06032014,539.8,,460,large,536.71,453.55,83.16,0.183353544,extr M2E_06032014,10.1,50,incub M2E_06032014,,10.63,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
F2,A,6/3/14,6/4/14,,F2A_06032014,465.5,,389.8,large,462.41,383.35,79.06,0.206234512,extr F2A_06032014,10.53,50,incub F2A_06032014,,10.19,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
F2,B,6/3/14,6/4/14,,F2B_06032014,370.9,,301.6,large,367.81,295.15,72.66,0.246179909,extr F2B_06032014,10.31,50,incub F2B_06032014,,10.49,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
F2,C,6/3/14,6/4/14,,F2C_06032014,437.3,,340.7,large,434.21,334.25,99.96,0.299057592,extr F2C_06032014,10.24,50,incub F2C_06032014,,10.16,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
F2,D,6/3/14,6/4/14,,F2D_06032014,422,,354.7,large,418.91,348.25,70.66,0.202900215,extr F2D_06032014,10.47,50,incub F2D_06032014,,10.2,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
F2,E,6/3/14,6/4/14,,F2E_06032014,422.7,,346.8,large,419.61,340.35,79.26,0.23287792,extr F2E_06032014,10.53,50,incub F2E_06032014,,10.06,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
SM,A,6/3/14,6/4/14,,SMA_06032014,545.6,,458.4,large,542.51,451.95,90.56,0.200376148,extr SMA_06032014,10.1,50,incub SMA_06032014,,9.95,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
SM,B,6/3/14,6/4/14,,SMB_06032014,548.9,,463.4,large,545.81,456.95,88.86,0.194463289,extr SMB_06032014,10.21,50,incub SMB_06032014,,9.71,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
SM,C,6/3/14,6/4/14,,SMC_06032014,516.9,,440.2,large,513.81,433.75,80.06,0.184576369,extr SMC_06032014,10.17,50,incub SMC_06032014,,10.28,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
SM,D,6/3/14,6/4/14,,SMD_06032014,536.4,,456.7,large,533.31,450.25,83.06,0.184475292,extr SMD_06032014,9.69,50,incub SMD_06032014,,10.33,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
SM,E,6/3/14,6/4/14,,SME_06032014,524,,441.7,large,520.91,435.25,85.66,0.196806433,extr SME_06032014,9.77,50,incub SME_06032014,,9.74,50,6/4/14,,No DOC testing,No DOC testing,25,6/4/14,,Processed collected soils the afternoon after collection,
Ext Blank,NA,NaN,6/4/14,,ext bnk 06032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06032014,NA,50,NA,,NA,NA,6/4/14,NaN,NA,NA,NA,6/4/14,NaN,Processed collected soils the afternoon after collection,
Ext Blank,NA,NaN,6/4/14,,ext bnk 06032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06032014,NA,50,NA,,NA,NA,6/4/14,NaN,NA,NA,NA,6/4/14,NaN,Processed collected soils the afternoon after collection,
Ext Blank,NA,NaN,6/4/14,,ext bnk 06032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06032014,NA,50,NA,,NA,NA,6/4/14,NaN,NA,NA,NA,6/4/14,NaN,Processed collected soils the afternoon after collection,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,7/3/14,7/3/14,,SMA_07032014,249.8,,200.4,large,246.71,193.95,52.76,0.272028873,extr SMA_07032014,10.3,50,incub SMA_07032014,,9.49,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
SM,B,7/3/14,7/3/14,,SMB_07032014,270.4,,217.3,large,267.31,210.85,56.46,0.267773299,extr SMB_07032014,9.83,50,incub SMB_07032014,,10.19,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
SM,C,7/3/14,7/3/14,,SMC_07032014,360.6,,283.9,large,357.51,277.45,80.06,0.288556497,extr SMC_07032014,9.67,50,incub SMC_07032014,,9.98,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
SM,D,7/3/14,7/3/14,,SMD_07032014,379.7,,296.6,large,376.61,290.15,86.46,0.297983801,extr SMD_07032014,9.53,50,incub SMD_07032014,,9.58,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
SM,E,7/3/14,7/3/14,,SME_07032014,480.8,,379.1,large,477.71,372.65,105.06,0.281926741,extr SME_07032014,9.88,50,incub SME_07032014,,10.43,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
M2,A,7/3/14,7/3/14,,M2A_07032014,532.7,,448.4,large,529.61,441.95,87.66,0.198348229,extr M2A_07032014,10.12,50,incub M2A_07032014,,10.27,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
M2,B,7/3/14,7/3/14,,M2B_07032014,528.7,,446.4,large,525.61,439.95,85.66,0.194703944,extr M2B_07032014,10.39,50,incub M2B_07032014,,10.38,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
M2,C,7/3/14,7/3/14,,M2C_07032014,270.8,,230.6,large,267.71,224.15,43.56,0.194334151,extr M2C_07032014,9.53,50,incub M2C_07032014,,9.58,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
M2,D,7/3/14,7/3/14,,M2D_07032014,557.7,,469.1,large,554.61,462.65,91.96,0.198767967,extr M2D_07032014,9.88,50,incub M2D_07032014,,9.6,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
M2,E,7/3/14,7/3/14,,M2E_07032014,589.7,,491.2,large,586.61,484.75,101.86,0.210128932,extr M2E_07032014,10,50,incub M2E_07032014,,9.78,50,7/3/14,,No DOC testing,No DOC testing,25,7/3/14,,,
Ext Blank,NA,NaN,7/3/14,,ext bnk 07032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 07032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,7/3/14,,ext bnk 07032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 07032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,7/3/14,,ext bnk 07032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 07032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,18/3/2014,18/3/2014,,SMA_18032014,123.41,,98.6,small,120.32,96.19,24.13,0.250857678,extr SMA_18032014,10.31,50,incub SMA_18032014,,10.05,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
SM,B,18/3/2014,18/3/2014,,SMB_18032014,177.91,,146,small,174.82,143.59,31.23,0.217494254,extr SMB_18032014,9.76,50,incub SMB_18032014,,9.72,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
SM,C,18/3/2014,18/3/2014,,SMC_18032014,123.72,,99.9,small,120.63,97.49,23.14,0.237357678,extr SMC_18032014,10.04,50,incub SMC_18032014,,10.01,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
SM,D,18/3/2014,18/3/2014,,SMD_18032014,179.04,,144.1,small,175.95,141.69,34.26,0.241795469,extr SMD_18032014,9.83,50,incub SMD_18032014,,10.07,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
SM,E,18/3/2014,18/3/2014,,SME_18032014,110.73,,92.5,small,107.64,90.09,17.55,0.194805195,extr SME_18032014,10.63,50,incub SME_18032014,,9.84,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
M2,A,18/3/2014,18/3/2014,,M2A_18032014,119.86,,99.6,small,116.77,97.19,19.58,0.201461056,extr M2A_18032014,10.33,50,incub M2A_18032014,,10.12,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
M2,B,18/3/2014,18/3/2014,,M2B_18032014,153.56,,127.5,small,150.47,125.09,25.38,0.202893916,extr M2B_18032014,10.35,50,incub M2B_18032014,,9.6,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
M2,C,18/3/2014,18/3/2014,,M2C_18032014,119.56,,99.4,small,116.47,96.99,19.48,0.200845448,extr M2C_18032014,9.85,50,incub M2C_18032014,,9.59,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
M2,D,18/3/2014,18/3/2014,,M2D_18032014,159.79,,132.3,small,156.7,129.89,26.81,0.20640542,extr M2D_18032014,10.45,50,incub M2D_18032014,,9.55,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
M2,E,18/3/2014,18/3/2014,,M2E_18032014,150.33,,122.5,small,147.24,120.09,27.15,0.22608044,extr M2E_18032014,10.33,50,incub M2E_18032014,,9.61,50,18/3/2014,,No DOC testing,No DOC testing,25,18/3/2014,,"Didn't do the extractions until 24 hours later (collected 18/3, extractions done morning 19/3)",
Ext Blank,NA,NaN,18/3/2014,,ext bnk 18032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,18/3/2014,,ext bnk 18032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,18/3/2014,,ext bnk 18032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,A,20/3/2014,20/3/2014,,M1A_20032014,172.71,,144.6,small,169.62,142.19,27.43,0.192910894,extr M1A_20032014,10.1,50,incub M1A_20032014,,9.43,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
M1,B,20/3/2014,20/3/2014,,M1B_20032014,160.42,,134.9,small,157.33,132.49,24.84,0.187485848,extr M1B_20032014,9.98,50,incub M1B_20032014,,9.62,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
M1,C,20/3/2014,20/3/2014,,M1C_20032014,167.41,,140,small,164.32,137.59,26.73,0.19427284,extr M1C_20032014,10.15,50,incub M1C_20032014,,9.82,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
M1,D,20/3/2014,20/3/2014,,M1D_20032014,139.49,,116.2,small,136.4,113.79,22.61,0.198699358,extr M1D_20032014,10.38,50,incub M1D_20032014,,9.83,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
M1,E,20/3/2014,20/3/2014,,M1E_20032014,130.64,,109,small,127.55,106.59,20.96,0.196641336,extr M1E_20032014,9.96,50,incub M1E_20032014,,10.09,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
F2,A,20/3/2014,20/3/2014,,F2A_20032014,162.26,,134.2,small,159.17,131.79,27.38,0.207754761,extr F2A_20032014,10.35,50,incub F2A_20032014,,10.42,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
F2,B,20/3/2014,20/3/2014,,F2B_20032014,120.17,,100.2,small,117.08,97.79,19.29,0.197259433,extr F2B_20032014,10.2,50,incub F2B_20032014,,9.78,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
F2,C,20/3/2014,20/3/2014,,F2C_20032014,117.53,,96.1,small,114.44,93.69,20.75,0.221475077,extr F2C_20032014,9.98,50,incub F2C_20032014,,9.77,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
F2,D,20/3/2014,20/3/2014,,F2D_20032014,149.64,,121.1,small,146.55,118.69,27.86,0.234729126,extr F2D_20032014,10.55,50,incub F2D_20032014,,10.04,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,"Extraction sampele probably useless - I spilled some of the KCl when pouring it in, no idea how many ml (6? Def less than 15), but enough that I don't think I'll trust this number",
F2,E,20/3/2014,20/3/2014,,F2E_20032014,138.21,,112.2,small,135.12,109.79,25.33,0.23071318,extr F2E_20032014,10.29,50,incub F2E_20032014,,10.08,50,20/3/2014,,No DOC testing,No DOC testing,25,20/3/2014,,,
Ext Blank,NA,NaN,20/3/2014,,ext bnk 20032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,20/3/2014,,ext bnk 20032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,20/3/2014,,ext bnk 20032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,A,25/3/2014,25/3/2014,,F1A_25032014,122.63,,97.2,small,119.54,94.79,24.75,0.261103492,extr F1A_25032014,9.99,50,incub F1A_25032014,,10.47,50,25/3/2014,,DOC F1A_25032014,5.08,25,25/3/2014,,,
F1,B,25/3/2014,25/3/2014,,F1B_25032014,131.09,,98.4,small,128,95.99,32.01,0.333472237,extr F1B_25032014,9.92,50,incub F1B_25032014,,9.97,50,25/3/2014,,DOC F1B_25032014,4.81,25,25/3/2014,,,
F1,C,25/3/2014,25/3/2014,,F1C_25032014,114.68,,90.1,small,111.59,87.69,23.9,0.272551032,extr F1C_25032014,9.95,50,incub F1C_25032014,,9.64,50,25/3/2014,,DOC F1C_25032014,5.15,25,25/3/2014,,,
F1,D,25/3/2014,25/3/2014,,F1D_25032014,159.82,,126.4,small,156.73,123.99,32.74,0.264053553,extr F1D_25032014,9.65,50,incub F1D_25032014,,9.72,50,25/3/2014,,DOC F1D_25032014,4.9,25,25/3/2014,,,
F1,E,25/3/2014,25/3/2014,,F1E_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F1E_25032014,NA,50,incub F1E_25032014,,NA,50,25/3/2014,,DOC F1E_25032014,NA,25,25/3/2014,,"To save vials, didn't do a 5th chamber in forest sites",
SD,A,25/3/2014,25/3/2014,,SDA_25032014,163.3,,142.8,small,160.21,140.39,19.82,0.141178147,extr SDA_25032014,9.98,50,incub SDA_25032014,,9.65,50,25/3/2014,,DOC SDA_25032014,5.1,25,25/3/2014,,,
SD,B,25/3/2014,25/3/2014,,SDB_25032014,156.56,,137.8,small,153.47,135.39,18.08,0.133540143,extr SDB_25032014,10.52,50,incub SDB_25032014,,10.15,50,25/3/2014,,DOC SDB_25032014,5.11,25,25/3/2014,,,
SD,C,25/3/2014,25/3/2014,,SDC_25032014,115.94,,102.3,small,112.85,99.89,12.96,0.129742717,extr SDC_25032014,10.41,50,incub SDC_25032014,,10.48,50,25/3/2014,,DOC SDC_25032014,4.78,25,25/3/2014,,,
SD,D,25/3/2014,25/3/2014,,SDD_25032014,96.92,,86.2,small,93.83,83.79,10.04,0.119823368,extr SDD_25032014,9.38,50,incub SDD_25032014,,10.07,50,25/3/2014,,DOC SDD_25032014,5.15,25,25/3/2014,,,
SD,E,25/3/2014,25/3/2014,,SDE_25032014,116.84,,103.7,small,113.75,101.29,12.46,0.123013131,extr SDE_25032014,10.32,50,incub SDE_25032014,,10.16,50,25/3/2014,,DOC SDE_25032014,5.18,25,25/3/2014,,,
Ext Blank,NA,NaN,25/3/2014,,ext bnk 25032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,25/3/2014,,ext bnk 25032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,25/3/2014,,ext bnk 25032014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 25032014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
F148,A,25/3/2014,25/3/2014,,F148A_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F148A_25032014,10.47,50,incub F148A_25032014,,10.32,50,25/3/2014,,DOC F148A_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
F148,B,25/3/2014,25/3/2014,,F148B_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F148B_25032014,10.02,50,incub F148B_25032014,,9.72,50,25/3/2014,,DOC F148B_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
F148,C,25/3/2014,25/3/2014,,F148C_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F148C_25032014,9.55,50,incub F148C_25032014,,9.81,50,25/3/2014,,DOC F148C_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
F148,D,25/3/2014,25/3/2014,,F148D_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F148D_25032014,10.05,50,incub F148D_25032014,,9.8,50,25/3/2014,,DOC F148D_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
F148,E,25/3/2014,25/3/2014,,F148E_25032014,NA,,NA,NA,NA,NA,NA,NA,extr F148E_25032014,NA,50,incub F148E_25032014,,NA,50,25/3/2014,,DOC F148E_25032014,,25,25/3/2014,,"To save vials, didn't do a 5th chamber in forest sites",
SD48,A,25/3/2014,25/3/2014,,SD48A_25032014,NA,,NA,NA,NA,NA,NA,NA,extr SD48A_25032014,10.05,50,incub SD48A_25032014,,10.24,50,25/3/2014,,DOC SD48A_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
SD48,B,25/3/2014,25/3/2014,,SD48B_25032014,NA,,NA,NA,NA,NA,NA,NA,extr SD48B_25032014,9.61,50,incub SD48B_25032014,,9.74,50,25/3/2014,,DOC SD48B_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
SD48,C,25/3/2014,25/3/2014,,SD48C_25032014,NA,,NA,NA,NA,NA,NA,NA,extr SD48C_25032014,9.68,50,incub SD48C_25032014,,10.01,50,25/3/2014,,DOC SD48C_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
SD48,D,25/3/2014,25/3/2014,,SD48D_25032014,NA,,NA,NA,NA,NA,NA,NA,extr SD48D_25032014,10.29,50,incub SD48D_25032014,,9.73,50,25/3/2014,,DOC SD48D_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
SD48,E,25/3/2014,25/3/2014,,SD48E_25032014,NA,,NA,NA,NA,NA,NA,NA,extr SD48E_25032014,10.23,50,incub SD48E_25032014,,10.5,50,25/3/2014,,DOC SD48E_25032014,,25,25/3/2014,,"Extraction protocol experiment in which I do the extraction after it sits for 48 hours instead of 24 - I routinely made this mistake over the season, so now can do the correction.","These were actually extracted after a day and a half (60 hours), not 48 hours)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,26/3/2014,26/3/2014,,SMA_26032014,185.88,,151,small,182.79,148.59,34.2,0.230163537,extr SMA_26032014,9.89,50,incub SMA_26032014,,10.4,50,26/3/2014,,DOC SMA_25032014,4.74,25,26/3/2014,,,
SM,B,26/3/2014,26/3/2014,,SMB_26032014,171.83,,138.7,small,168.74,136.29,32.45,0.238095238,extr SMB_26032014,10.39,50,incub SMB_26032014,,10.05,50,26/3/2014,,DOC SMB_25032014,4.83,25,26/3/2014,,,
SM,C,26/3/2014,26/3/2014,,SMC_26032014,140.74,,113.9,small,137.65,111.49,26.16,0.234639878,extr SMC_26032014,10.02,50,incub SMC_26032014,,9.77,50,26/3/2014,,DOC SMC_25032014,5.09,25,26/3/2014,,,
SM,D,26/3/2014,26/3/2014,,SMD_26032014,132.59,,106.9,small,129.5,104.49,25.01,0.239353048,extr SMD_26032014,10.34,50,incub SMD_26032014,,9.94,50,26/3/2014,,DOC SMD_25032014,4.77,25,26/3/2014,,,
SM,E,26/3/2014,26/3/2014,,SME_26032014,92.25,,75.2,small,89.16,72.79,16.37,0.224893529,extr SME_26032014,9.97,50,incub SME_26032014,,10.25,50,26/3/2014,,DOC SME_25032014,4.83,25,26/3/2014,,"DOC specimen cup was acid washed (only, not the ext or inc cup)",
S1,A,26/3/2014,26/3/2014,,S1A_26032014,131.73,,111,small,128.64,108.59,20.05,0.18463947,extr S1A_26032014,10.32,50,incub S1A_26032014,,9.65,50,26/3/2014,,DOC S1A_25032014,5.27,25,26/3/2014,,acid washed specimen cups,
S1,B,26/3/2014,26/3/2014,,S1B_26032014,150.86,,127.5,small,147.77,125.09,22.68,0.181309457,extr S1B_26032014,9.9,50,incub S1B_26032014,,10.37,50,26/3/2014,,DOC S1B_25032014,5.08,25,26/3/2014,,acid washed specimen cups,
S1,C,26/3/2014,26/3/2014,,S1C_26032014,157.06,,131.6,small,153.97,129.19,24.78,0.191810512,extr S1C_26032014,10.33,50,incub S1C_26032014,,9.77,50,26/3/2014,,DOC S1C_25032014,4.96,25,26/3/2014,,acid washed specimen cups,
