Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
DOC Blank,NA,NaN,29/1/2014,,DOC bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,29/1/2014,,DOC bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
DOC Blank,NA,NaN,29/1/2014,,DOC bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,A,30/1/2014,30/1/2014,,M3A_30012014,135.93,,116.3,small,132.84,113.89,18.95,0.166388621,extr M3A_30012014,10.1,50,incub M3A_30012014,,9.89,50,30/1/2014,,DOC M3A_30012014,5.01,25,30/1/2014,,Should switch to double the amount DOC soil/DI so that I can have 20 ml in the spare vial and not 10 ml and 10 ml?,
M3,B,30/1/2014,30/1/2014,,M3B_30012014,126.36,,107.6,small,123.27,105.19,18.08,0.171879456,extr M3B_30012014,10.87,50,incub M3B_30012014,,10.52,50,30/1/2014,,DOC M3B_30012014,5.29,25,30/1/2014,,,
M3,C,30/1/2014,30/1/2014,,M3C_30012014,165.69,,142.6,small,162.6,140.19,22.41,0.159854483,extr M3C_30012014,10.53,50,incub M3C_30012014,,9.88,50,30/1/2014,,DOC M3C_30012014,5.16,25,30/1/2014,,,
M3,D,30/1/2014,30/1/2014,,M3D_30012014,138.82,,119.6,small,135.73,117.19,18.54,0.158204625,extr M3D_30012014,9.97,50,incub M3D_30012014,,10.19,50,30/1/2014,,DOC M3D_30012014,4.82,25,30/1/2014,,,
M3,E,30/1/2014,30/1/2014,,M3E_30012014,145.69,,125.9,small,142.6,123.49,19.11,0.154749372,extr M3E_30012014,10.39,50,incub M3E_30012014,,10.27,50,30/1/2014,,DOC M3E_30012014,4.95,25,30/1/2014,,,
S1,A,30/1/2014,30/1/2014,,S1A_30012014,116.91,,101.2,small,113.82,98.79,15.03,0.152140905,extr S1A_30012014,10.42,50,incub S1A_30012014,,10.11,50,30/1/2014,,DOC S1A_30012014,4.89,25,30/1/2014,,,
S1,B,30/1/2014,30/1/2014,,S1B_30012014,118.35,,101.9,small,115.26,99.49,15.77,0.158508393,extr S1B_30012014,10.44,50,incub S1B_30012014,,10.18,50,30/1/2014,,DOC S1B_30012014,5.01,25,30/1/2014,,,
S1,C,30/1/2014,30/1/2014,,S1C_30012014,140.25,,120.8,small,137.16,118.39,18.77,0.158543796,extr S1C_30012014,9.88,50,incub S1C_30012014,,10.17,50,30/1/2014,,DOC S1C_30012014,4.87,25,30/1/2014,,,
S1,D,30/1/2014,30/1/2014,,S1D_30012014,154.92,,131.2,small,151.83,128.79,23.04,0.178895877,extr S1D_30012014,10.49,50,incub S1D_30012014,,10.12,50,30/1/2014,,DOC S1D_30012014,4.86,25,30/1/2014,,,
