"Labels","ambNinfo","ambCinfo","GCrun"
"Mean",9.0394,45.79605,"20140606_Leak0"
"Std",0.14758012512982,0.229766163740444,"20140606_Leak0"
"Count",4,4,"20140606_Leak0"
"CV",0.0163263186859548,0.00501716116871312,"20140606_Leak0"
"Amb1",25.6748,53.3244,"20140613_Leak1"
"Amb2",26.0558,52.1008,"20140613_Leak1"
"Amb3",26.0432,52.2552,"20140613_Leak1"
"Amb4",26.642,52.535,"20140613_Leak1"
"Mean",26.10395,52.55385,"20140613_Leak1"
"Std",0.399865189782756,0.544226898146963,"20140613_Leak1"
"Count",4,4,"20140613_Leak1"
"CV",0.0153181870859681,0.0103556047396521,"20140613_Leak1"
"Amb1",26.9184,55.7188,"20140701_Leak4"
"Amb2",27.325,60.4468,"20140701_Leak4"
"Amb3",27.1326,66.5372,"20140701_Leak4"
"Amb4",27.3354,63.2906,"20140701_Leak4"
"Mean",27.17785,61.49835,"20140701_Leak4"
"Std",0.196500203562236,4.5866154911147,"20140701_Leak4"
"Count",4,4,"20140701_Leak4"
"CV",0.00723015998551159,0.0745811146333958,"20140701_Leak4"
"Amb1",24.4564,66.9358,"20140806_Leak8"
"Amb2",24.655,76.1628,"20140806_Leak9"
"Amb3",24.6732,69.6688,"20140806_Leak10"
"Amb4",25.024,56.1576,"20140806_Leak11"
"Mean",24.70215,67.23125,"20140806_Leak12"
"Std",0.235967307057568,8.33521146362426,"20140806_Leak13"
"Count",4,4,"20140806_Leak14"
"CV",0.00955250077655457,0.123978231307975,"20140806_Leak15"
"Amb1",23.316,75.2464,"20140905_Leak12"
"Amb2",22.9436,78.3718,"20140905_Leak12"
"Amb3",23.2808,80.692,"20140905_Leak12"
"Amb4",23.1956,66.994,"20140905_Leak12"
"Mean",23.184,75.32605,"20140905_Leak12"
"Std",0.16804856440922,5.98607867723103,"20140905_Leak12"
"Count",4,4,"20140905_Leak12"
"CV",0.00724847154974208,0.0794689045453867,"20140905_Leak12"
"Amb1",24.4106,58.9332,"20141201_Jankowski"
"Amb2",24.4372,58.1544,"20141201_Jankowski"
"Amb3",25.434,57.3516,"20141201_Jankowski"
"Amb4",25.3984,58.6252,"20141201_Jankowski"
"Mean",24.92005,58.2661,"20141201_Jankowski"
"Std",0.573191867237025,0.688661106786205,"20141201_Jankowski"
"Count",4,4,"20141201_Jankowski"
"CV",0.0230012326314363,0.0118192414935306,"20141201_Jankowski"
"Amb1",26.4866,57.9376,"20141201_Jankowski"
"Amb2",26.4798,51.6948,"20141201_Jankowski"
"Amb3",26.7676,57.398,"20141201_Jankowski"
"Amb4",26.3474,58.8352,"20141201_Jankowski"
"Mean",26.52035,56.4664,"20141201_Jankowski"
"Std",0.176849870417444,3.23582488195308,"20141201_Jankowski"
"Count",4,4,"20141201_Jankowski"
"CV",0.00666845914241118,0.0573053157621715,"20141201_Jankowski"
