Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
F2	F	E	2014.03.20	Wet	10:25	F	36.5	29.5	25.0	0.23071318	NA	N	NA	NA	NA	NA		
F2	F	A	2014.04.03	Wet	13:30	F	28.5	27.5	24.0	0.250841568	NA	N	NA	NA	NA	NA		
F2	F	B	2014.04.03	Wet	13:30	F	28.5	27.5	25.0	0.248005394	NA	N	NA	NA	NA	NA		
F2	F	C	2014.04.03	Wet	13:30	F	28.5	27.5	25.0	0.26954678	NA	N	NA	NA	NA	NA		
F2	F	D	2014.04.03	Wet	13:30	F	28.5	27.5	24.0	0.23962029	NA	N	NA	NA	NA	NA		
F2	F	A	2014.11.12	Wet	10:00	F	28.3	28.7	21.0	NA	NA	N	NA	NA	NA	NA		
F2	F	B	2014.11.12	Wet	10:00	F	28.3	28.7	26.0	NA	NA	N	NA	NA	NA	NA		
F2	F	C	2014.11.12	Wet	10:00	F	28.3	28.7	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	D	2014.11.12	Wet	10:00	F	28.3	28.7	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	E	2014.11.12	Wet	10:00	F	28.3	28.7	25.0	NA	NA	N	NA	NA	NA	NA		
F3	F	A	2013.06.14	Dry	11:45	NA	29.5	27.0	21.0	0.180891919	NA	N	NA	NA	NA	NA		
F3	F	B	2013.06.14	Dry	11:45	NA	29.5	27.0	22.0	0.185487126	NA	N	NA	NA	NA	NA		
F3	F	C	2013.06.14	Dry	11:45	NA	29.5	27.0	22.0	0.174680019	NA	N	NA	NA	NA	NA		
F3	F	D	2013.06.14	Dry	11:45	NA	29.5	27.0	23.0	0.171638176	NA	N	NA	NA	NA	NA		
F3	F	E	2013.06.14	Dry	11:45	NA	29.5	27.0	22.0	0.160272681	NA	N	NA	NA	NA	NA		
F3	F	A	2013.07.23	Dry	11:15	NA	26.0	27.0	23.0	0.183971109	NA	N	NA	NA	NA	NA		
F3	F	B	2013.07.23	Dry	11:15	NA	26.0	27.0	20.0	0.16516289	NA	N	NA	NA	NA	NA		
F3	F	C	2013.07.23	Dry	11:15	NA	26.0	27.0	23.0	0.158128112	NA	N	NA	NA	NA	NA		
F3	F	D	2013.07.23	Dry	11:15	NA	26.0	27.0	24.0	0.168555787	NA	N	NA	NA	NA	NA		
F3	F	E	2013.07.23	Dry	11:15	NA	26.0	27.0	21.0	0.155331129	NA	N	NA	NA	NA	NA		
F3	F	A	2013.12.17	Wet	10:30	NA	25.0	24.5	25.0	0.541084405	NA	N	NA	NA	NA	NA		
F3	F	B	2013.12.17	Wet	10:30	NA	25.0	24.5	25.0	0.273700705	NA	N	NA	NA	NA	NA		
F3	F	C	2013.12.17	Wet	10:30	NA	25.0	24.5	27.0	0.261682243	NA	N	NA	NA	NA	NA		
F3	F	D	2013.12.17	Wet	10:30	NA	25.0	24.5	25.0	0.238110856	NA	N	NA	NA	NA	NA		
F3	F	E	2013.12.17	Wet	10:30	NA	25.0	24.5	24.0	0.306998712	NA	N	NA	NA	NA	NA		
F3	F	A	2014.01.29	Wet	10:20	F	27.7	28.0	25.0	0.199024029	NA	N	NA	NA	NA	NA		
F3	F	B	2014.01.29	Wet	10:20	F	27.7	28.0	25.0	0.240519927	NA	N	NA	NA	NA	NA		
F3	F	C	2014.01.29	Wet	10:20	F	27.7	28.0	25.0	0.204029538	NA	N	NA	NA	NA	NA		
F3	F	D	2014.01.29	Wet	10:20	F	27.7	28.0	27.0	0.231802781	NA	N	NA	NA	NA	NA		
F3	F	E	2014.01.29	Wet	10:20	F	27.7	28.0	25.0	0.219684276	NA	N	NA	NA	NA	NA		
F3	F	A	2014.04.02	Wet	9:55	F	26.5	26.0	24.0	0.260350238	NA	N	NA	NA	NA	NA		
F3	F	B	2014.04.02	Wet	9:55	F	26.5	26.0	25.0	0.287866949	NA	N	NA	NA	NA	NA		
F3	F	C	2014.04.02	Wet	9:55	F	26.5	26.0	23.5	0.27334903	NA	N	NA	NA	NA	NA		
F3	F	D	2014.04.02	Wet	9:55	F	26.5	26.0	24.0	0.266892228	NA	N	NA	NA	NA	NA		
F3	F	A	2014.11.14	Wet	10:20	F	23.3	23.0	25.0	NA	NA	N	NA	NA	NA	NA		
F3	F	B	2014.11.14	Wet	10:20	F	23.3	23.0	25.0	NA	NA	N	NA	NA	NA	NA		
F3	F	C	2014.11.14	Wet	10:20	F	23.3	23.0	21.0	NA	NA	N	NA	NA	NA	NA		
F3	F	D	2014.11.14	Wet	10:20	F	23.3	23.0	23.0	NA	NA	N	NA	NA	NA	NA		
F3	F	E	2014.11.14	Wet	10:20	F	23.3	23.0	23.0	NA	NA	N	NA	NA	NA	NA		
M1	M	A	2013.06.14	Dry	9:45	NA	31.0	28.0	24.0	0.137909451	NA	Y	2014.03.04	-263	Unknown	NA		
M1	M	B	2013.06.14	Dry	9:45	NA	31.0	28.0	25.0	0.189152488	NA	Y	2014.03.04	-263	Unknown	NA		
