Site,Chamber,DryWeightToUse_g,Volume_mL,BulkDensity_gcm3,SampleMonth,Notes,SampleType
M1,C,129.90,97.00,1.34,11.2014,,BD ring
M1,C,133.50,97.00,1.38,11.2014,,BD ring
M1,D,139.80,97.00,1.44,11.2014,,BD ring
M1,D,143.70,97.00,1.48,11.2014,,BD ring
M1,E,136.50,97.00,1.41,11.2014,,BD ring
M1,E,144.40,97.00,1.49,11.2014,,BD ring
M2,A,125.40,97.00,1.29,11.2014,,BD ring
M2,A,125.10,97.00,1.29,11.2014,,BD ring
M2,B,129.90,97.00,1.34,11.2014,,BD ring
M2,B,133.40,97.00,1.38,11.2014,,BD ring
M2,C,129.90,97.00,1.34,11.2014,,BD ring
M2,C,126.90,97.00,1.31,11.2014,,BD ring
M2,D,130.50,97.00,1.35,11.2014,,BD ring
M2,D,129.80,97.00,1.34,11.2014,,BD ring
M2,E,127.10,97.00,1.31,11.2014,,BD ring
M2,E,125.80,97.00,1.30,11.2014,,BD ring
M3,A,150.50,97.00,1.55,11.2014,,BD ring
M3,A,134.40,97.00,1.39,11.2014,switched to M3 since that was the only M site with one repeat too few for a chamber and it was also an A,BD ring
M3,B,156.30,97.00,1.61,11.2014,,BD ring
M3,B,152.60,97.00,1.57,11.2014,,BD ring
M3,C,143.40,97.00,1.48,11.2014,,BD ring
M3,C,148.80,97.00,1.53,11.2014,,BD ring
M3,D,149.10,97.00,1.54,11.2014,,BD ring
M3,D,146.20,97.00,1.51,11.2014,,BD ring
M3,E,146.10,97.00,1.51,11.2014,,BD ring
M3,E,141.90,97.00,1.46,11.2014,,BD ring
S1,A,151.80,97.00,1.56,11.2014,,BD ring
S1,A,158.10,97.00,1.63,11.2014,,BD ring
S1,B,155.20,97.00,1.60,11.2014,,BD ring
S1,B,155.80,97.00,1.61,11.2014,,BD ring
S1,C,157.30,97.00,1.62,11.2014,,BD ring
S1,C,154.50,97.00,1.59,11.2014,,BD ring
S1,D,150.20,97.00,1.55,11.2014,missing a 2nd D sample,BD ring
S1,E,160.30,97.00,1.65,11.2014,,BD ring
S1,E,156.30,97.00,1.61,11.2014,,BD ring
S2,A,159.40,97.00,1.64,11.2014,,BD ring
S2,A,163.30,97.00,1.68,11.2014,,BD ring
S2,A,158.40,97.00,1.63,11.2014,,BD ring
S2,B,157.20,97.00,1.62,11.2014,,BD ring
S2,B,168.30,97.00,1.74,11.2014,,BD ring
S2,B,162.50,97.00,1.68,11.2014,,BD ring
S2,C,171.80,97.00,1.77,11.2014,,BD ring
S2,C,171.20,97.00,1.76,11.2014,,BD ring
S2,C,169.20,97.00,1.74,11.2014,,BD ring
S2,D,NA,97.00,NA,11.2014,"4 D samples, so can't trust any (no way to tell which one is the ""missing"" S1 sample",BD ring
S2,D,NA,97.00,NA,11.2014,"4 D samples, so can't trust any (no way to tell which one is the ""missing"" S1 sample",BD ring
S2,D,NA,97.00,NA,11.2014,"4 D samples, so can't trust any (no way to tell which one is the ""missing"" S1 sample",BD ring
S2,D,NA,97.00,NA,11.2014,"4 D samples, so can't trust any (no way to tell which one is the ""missing"" S1 sample",BD ring
S2,E,159.20,97.00,1.64,11.2014,,BD ring
S2,E,166.00,97.00,1.71,11.2014,,BD ring
S2,E,163.50,97.00,1.69,11.2014,,BD ring
S3,A,129.00,97.00,1.33,11.2014,,BD ring
S3,A,124.00,97.00,1.28,11.2014,,BD ring
S3,B,131.70,97.00,1.36,11.2014,,BD ring
S3,B,126.50,97.00,1.30,11.2014,,BD ring
S3,C,129.10,97.00,1.33,11.2014,,BD ring
